psi_1,psi_2,y2,psi_1d,psi_2d,y2d,action
0.0,0.0,-1.5769531903260642e-16,-4.2143640237724793e-16,-1.1991420397311803e-17,-2.4639893598844746e-16,1.2023086230841965e-15
0.0,0.0,-1.59666510520514e-16,-4.382938584723388e-16,-1.2471077213204303e-17,-2.4639893598844746e-16,1.250400968007567e-15
0.0,0.0,-1.6163770200842157e-16,-4.382938584723385e-16,-1.2471077213204292e-17,-2.4639893598844746e-16,1.2504009680075661e-15
0.0,0.0,-1.6360889349632914e-16,-4.3829385847233803e-16,-1.247107721320428e-17,-2.4639893598844746e-16,1.250400968007565e-15
0.0,0.0,-1.6558008498423672e-16,-4.551513145674289e-16,-1.2950734029096779e-17,-2.4639893598844746e-16,1.2984933129309355e-15
0.0,0.0,-1.675512764721443e-16,-4.551513145674286e-16,-1.2950734029096771e-17,-2.4639893598844746e-16,1.2984933129309345e-15
0.0,0.0,-1.6952246796005186e-16,-4.551513145674282e-16,-1.2950734029096759e-17,-2.4639893598844746e-16,1.2984933129309335e-15
0.0,0.0,-1.7149365944795944e-16,-4.720087706625191e-16,-1.343039084498926e-17,-2.4639893598844746e-16,1.3465856578543041e-15
0.0,0.0,-1.73464850935867e-16,-4.720087706625187e-16,-1.3430390844989248e-17,-2.4639893598844746e-16,1.3465856578543031e-15
0.0,0.0,-1.7543604242377458e-16,-4.720087706625184e-16,-1.343039084498924e-17,-2.4639893598844746e-16,1.3465856578543021e-15
0.0,0.0,-1.7740723391168216e-16,-4.888662267576081e-16,-1.3910047660881706e-17,-2.4639893598844746e-16,1.3946780027776694e-15
0.0,0.0,-1.7937842539958973e-16,-4.888662267576077e-16,-1.3910047660881693e-17,-2.4639893598844746e-16,1.3946780027776682e-15
0.0,0.0,-1.813496168874973e-16,-4.888662267576073e-16,-1.3910047660881684e-17,-2.4639893598844746e-16,1.3946780027776672e-15
0.0,0.0,-1.8332080837540488e-16,-5.057236828526982e-16,-1.4389704476774183e-17,-2.4639893598844746e-16,1.4427703477010378e-15
0.0,0.0,-1.8529199986331245e-16,-5.057236828526978e-16,-1.4389704476774174e-17,-2.4639893598844746e-16,1.4427703477010368e-15
0.0,0.0,-1.8726319135122003e-16,-5.057236828526975e-16,-1.4389704476774165e-17,-2.4639893598844746e-16,1.4427703477010358e-15
0.0,0.0,-1.892343828391276e-16,-5.225811389477883e-16,-1.486936129266666e-17,-2.4639893598844746e-16,1.4908626926244062e-15
0.0,0.0,-1.9120557432703517e-16,-5.225811389477879e-16,-1.486936129266665e-17,-2.4639893598844746e-16,1.4908626926244052e-15
0.0,0.0,-1.9317676581494275e-16,-5.225811389477876e-16,-1.4869361292666642e-17,-2.4639893598844746e-16,1.4908626926244042e-15
0.0,0.0,-1.9514795730285032e-16,-5.394385950428784e-16,-1.5349018108559138e-17,-2.4639893598844746e-16,1.5389550375477748e-15
0.0,0.0,-1.971191487907579e-16,-5.394385950428782e-16,-1.5349018108559135e-17,-2.4639893598844746e-16,1.538955037547774e-15
0.0,0.0,-1.9909034027866547e-16,-5.394385950428778e-16,-1.5349018108559122e-17,-2.4639893598844746e-16,1.538955037547773e-15
0.0,0.0,-2.0106153176657304e-16,-5.562960511379686e-16,-1.5828674924451618e-17,-2.4639893598844746e-16,1.5870473824711434e-15
0.0,0.0,-2.0303272325448062e-16,-5.562960511379683e-16,-1.5828674924451612e-17,-2.4639893598844746e-16,1.5870473824711424e-15
0.0,0.0,-2.050039147423882e-16,-5.56296051137968e-16,-1.58286749244516e-17,-2.4639893598844746e-16,1.5870473824711414e-15
0.0,0.0,-2.0697510623029576e-16,-5.562960511379677e-16,-1.582867492445159e-17,-2.4639893598844746e-16,1.5870473824711404e-15
0.0,0.0,-2.0894629771820334e-16,-5.731535072330573e-16,-1.6308331740344055e-17,-2.4639893598844746e-16,1.6351397273945074e-15
0.0,0.0,-2.109174892061109e-16,-5.731535072330569e-16,-1.6308331740344043e-17,-2.4639893598844746e-16,1.6351397273945065e-15
0.0,0.0,-2.1288868069401849e-16,-5.731535072330566e-16,-1.6308331740344034e-17,-2.4639893598844746e-16,1.6351397273945057e-15
0.0,0.0,-2.1485987218192606e-16,-5.900109633281475e-16,-1.6787988556236536e-17,-2.4639893598844746e-16,1.6832320723178762e-15
0.0,0.0,-2.1683106366983363e-16,-5.900109633281471e-16,-1.6787988556236523e-17,-2.4639893598844746e-16,1.683232072317875e-15
0.0,0.0,-2.188022551577412e-16,-5.900109633281467e-16,-1.678798855623651e-17,-2.4639893598844746e-16,1.683232072317874e-15
0.0,0.0,-2.2077344664564878e-16,-6.068684194232376e-16,-1.7267645372129013e-17,-2.4639893598844746e-16,1.7313244172412446e-15
0.0,0.0,-2.227446381335564e-16,-6.068684194232373e-16,-1.7267645372129004e-17,-2.4639893598844746e-16,1.7313244172412437e-15
0.0,0.0,-2.2471582962146395e-16,-6.06868419423237e-16,-1.7267645372128994e-17,-2.4639893598844746e-16,1.7313244172412429e-15
0.0,0.0,-2.2668702110937153e-16,-6.237258755183278e-16,-1.7747302188021493e-17,-2.4639893598844746e-16,1.7794167621646132e-15
0.0,0.0,-2.286582125972791e-16,-6.237258755183275e-16,-1.7747302188021484e-17,-2.4639893598844746e-16,1.7794167621646125e-15
0.0,0.0,-2.3062940408518667e-16,-6.237258755183272e-16,-1.7747302188021475e-17,-2.4639893598844746e-16,1.7794167621646117e-15
0.0,0.0,-2.3260059557309425e-16,-6.405833316134179e-16,-1.822695900391397e-17,-2.4639893598844746e-16,1.8275091070879816e-15
0.0,0.0,-2.345717870610018e-16,-6.405833316134176e-16,-1.822695900391396e-17,-2.4639893598844746e-16,1.827509107087981e-15
0.0,0.0,-2.365429785489094e-16,-6.405833316134172e-16,-1.8226959003913952e-17,-2.4639893598844746e-16,1.8275091070879797e-15
