psi_1,psi_2,y2
0.868984,0.789084,-13.1061
0.897026,0.788393,-13.2204
0.925067,0.787244,-13.3343
0.953109,0.785632,-13.4478
0.981151,0.783551,-13.5607
1.00919,0.780994,-13.6728
1.03723,0.777958,-13.7839
1.06528,0.774437,-13.894
1.09332,0.770428,-14.0028
1.12136,0.765927,-14.1102
1.1494,0.760932,-14.2159
1.14815,0.754882,-14.3181
1.13481,0.74853,-14.4188
1.11771,0.742207,-14.5188
1.10046,0.736039,-14.6187
1.08354,0.73004,-14.7184
1.06698,0.724209,-14.8179
1.05077,0.718544,-14.9172
1.03493,0.713044,-15.0162
1.01945,0.707705,-15.115
1.00433,0.702525,-15.2136
0.98956,0.697503,-15.312
0.975148,0.692634,-15.4101
0.961089,0.687918,-15.5079
0.947379,0.68335,-15.6055
0.934016,0.67893,-15.7028
0.920995,0.674652,-15.7999
0.908314,0.670516,-15.8967
0.895968,0.666518,-15.9933
0.884673,0.66267,-16.0896
0.87305,0.65893,-16.1856
0.861611,0.655317,-16.2813
0.850466,0.65183,-16.3768
0.839633,0.648469,-16.472
0.829112,0.645231,-16.5669
0.818901,0.642112,-16.6616
0.808992,0.639111,-16.7561
0.799727,0.63623,-16.8503
0.790443,0.633449,-16.9443
0.781367,0.630775,-17.0381
0.772556,0.628206,-17.1316
0.764018,0.625741,-17.2249
0.755753,0.623377,-17.3179
0.747905,0.621115,-17.4108
0.740177,0.618943,-17.5034
0.732667,0.616864,-17.5959
0.725399,0.614875,-17.6881
0.715291,0.612911,-17.7801
0.697703,0.610921,-17.8719
0.679561,0.609166,-17.9636
0.658146,0.607603,-18.0552
0.642021,0.606464,-18.1468
0.626823,0.605583,-18.2384
0.612416,0.604947,-18.3299
0.595236,0.604471,-18.4214
0.582306,0.60435,-18.5129
0.570558,0.604457,-18.6044
0.559641,0.604771,-18.6959
0.54606,0.605208,-18.7874
0.537002,0.605961,-18.879
0.537187,0.607062,-18.9705
0.540174,0.608235,-19.0621
0.544004,0.609397,-19.1539
0.548063,0.610521,-19.2459
0.552099,0.611598,-19.3381
0.55603,0.612626,-19.4303
0.559831,0.613605,-19.5228
0.563529,0.614537,-19.6154
0.567081,0.615422,-19.7081
0.570497,0.616262,-19.8009
0.573782,0.617059,-19.8939
0.576941,0.617813,-19.987
0.580055,0.618528,-20.0802
0.583002,0.619201,-20.1735
0.585817,0.619835,-20.2669
0.588513,0.620433,-20.3603
0.591097,0.620994,-20.4539
0.593688,0.621524,-20.5475
0.596099,0.622017,-20.6412
0.598384,0.622477,-20.735
0.600562,0.622906,-20.8289
0.602777,0.623307,-20.9228
0.604807,0.623676,-21.0167
0.606716,0.624016,-21.1107
0.608527,0.624329,-21.2048
0.610252,0.624616,-21.2989
0.612046,0.624882,-21.393
0.613655,0.62512,-21.4872
0.615151,0.625333,-21.5814
0.616562,0.625525,-21.6756
0.617897,0.625695,-21.7698
0.619326,0.625849,-21.8641
0.620572,0.625978,-21.9584
0.621714,0.626088,-22.0527
0.622781,0.62618,-22.1471
0.623952,0.626258,-22.2414
0.624944,0.626316,-22.3357
0.625839,0.626356,-22.4301
0.626665,0.626381,-22.5244
0.627436,0.626393,-22.6188
0.628326,0.626395,-22.7132
0.629046,0.626379,-22.8075
0.629678,0.626349,-22.9019
0.630251,0.626308,-22.9962
0.630777,0.626257,-23.0906
0.631431,0.626198,-23.1849
0.631923,0.626125,-23.2792
0.632335,0.626041,-23.3735
0.632697,0.625949,-23.4679
0.633187,0.625851,-23.5621
0.633522,0.625742,-23.6564
0.633784,0.625623,-23.7507
0.634002,0.625498,-23.8449
0.634186,0.625366,-23.9392
0.634502,0.625232,-24.0334
0.634676,0.625088,-24.1276
0.634785,0.624938,-24.2217
0.634857,0.624783,-24.3159
0.634902,0.624623,-24.41
0.635076,0.624463,-24.5042
0.635119,0.624295,-24.5982
0.635106,0.624123,-24.6923
0.635061,0.623947,-24.7864
0.63514,0.623772,-24.8804
0.635096,0.62359,-24.9744
0.635001,0.623405,-25.0683
0.634879,0.623218,-25.1623
0.63474,0.623029,-25.2562
0.634721,0.622842,-25.3501
0.634593,0.622651,-25.444
0.63442,0.622457,-25.5379
0.634226,0.622262,-25.6317
0.634018,0.622068,-25.7255
0.633925,0.621876,-25.8193
0.633733,0.62168,-25.913
0.633502,0.621483,-26.0067
0.633255,0.621287,-26.1004
0.633112,0.621093,-26.1941
0.63288,0.620897,-26.2877
